10kΩ ±1% 125mW 厚膜电阻 编带,C17414,UNI-ROYAL(厚声),贴片电阻,0805,100,0.0123,1.23
DC电源插座 内径:2.5mm 外径:6.3mm 袋装,C111573,SOFNG(硕方),DC电源连接器,插件,1,0.98,0.98
22kΩ ±1% 125mW 厚膜电阻 编带,C17560,UNI-ROYAL(厚声),贴片电阻,0805,100,0.0113,1.13
470Ω ±1% 125mW 厚膜电阻 编带,C17710,UNI-ROYAL(厚声),贴片电阻,0805,100,0.0116,1.16
330nF ±10% 50V 编带,C73142,SAMSUNG(三星),贴片电容(MLCC),0805,50,0.0778,3.89
耐压:1kV 电流:1A 反向恢复时间：75ns 编带,C412437,MDD(辰达半导体),快恢复/高效率二极管,SMA,50,0.059,2.95
1x3P 5.08mm 直插 排数:1 每排P数:3 袋装,C395869,DORABO(地博电气),螺钉式接线端子,"插件,P=5.08mm",5,1.456,7.28
3.5mm耳机座 编带,C431535,SHOU HAN(首韩),音频连接器(耳机),SMD,10,0.254,2.54
50kΩ ±25% 编带,C913246,BOURNS,可调电阻/电位器,"SMD-3P,3.8x3.6mm",5,0.592,2.96
薄膜电阻 5kΩ ±0.1% 200mW 编带,C2073749,VISHAY(威世),贴片电阻,0805,2,6.795,13.59
1个N沟道 耐压:200V 电流:130A 管装,C2921,Infineon(英飞凌),场效应管(MOSFET),TO-247AC,4,10.23,40.92
100uH ±10% 2.2A 工字电感 袋装,C5119631,PROD(谱罗德),色环/插件电感,"插件,D10xL19mm",5,1.616,8.08
通用J-FET输入双运算放大器 编带,C5157710,Gcore(扬州国芯),运算放大器,SOP-8,5,0.858,4.29
1uF ±10% 50V 编带,C28323,SAMSUNG(三星),贴片电容(MLCC),0805,20,0.068,1.36
独立式 耐压:12V 电流:5uA 编带,C5174492,LGE(鲁光),稳压二极管,DO-41,10,0.342,3.42
